ROW No.	ENGLISH	NGONI N	NGONI 5	NGONI 6	MATENGO 7	MATENGO N	MPOTO 3	NDENDEULE 9	MBUNGA 11	MBUNGA 5	NDONDE	NGINDO 6	MATUMBI 1	NDENGELEKO 1	NDENGELEKO 3	MATAMBWE 3	MATAMBWE 1	YAO 7	YAO H	MWELA 5	MAKONDE 6	MAKONDE K	MAKONDE MOZ 1	MACHINGA 2	MACHINGA 5	MAKUA M	MAKUA 3	MACUA 1	MACUA 2	MWANI	BENA	HEHE	NDAMBA	POGOLO	MANDA 1	PANGWA	CHEWA	NYASA 1	ZALAMO
1	I	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A
2	you	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	NA	A	A	A
3	we	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	NA	A	A	B
4	who	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A
5	that	NA	A	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	NA	A	A	A	NA	A	A	A	A	A	NA	A	A	A
6	all	A	A	A	A	A	"D, G"	A	A	A	A	A	A	NA	A	A	NA	A	A	A	A	NA	A	A	A	I	E	F	F	NA	H	B	A	D	A	A	A	A	A
7	many	D	D	D	"I, B"	B	B	D	D	D	B	H	"B, G"	B	B	B	"B, I"	B	B	B	I	NA	I	B	"B, K"	B	B	B	B	B	A	A	C	C	D	A	E	E	B
8	other	B	B	"B, E"	B	NA	F	B	B	B	B	"B, G"	B	NA	B	C	C	C	NA	C	B	B	B	B	B	C	C	D	C	NA	NA	NA	B	A	B	NA	C	C	NA
9	one	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
10	two	A	A	A	A	A	A	A	A	A	H	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
11	three	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	NA	NA	A	A	A	A	A	A	NA
12	four	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	A	B	B	B	B	B	B	A	B	B	B	B	B	A	NA	NA	B	A	B	C	C	C	NA
13	five	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A	A	A	NA	NA	A	A	A	A	A	A	NA
14	big	C	C	"B, C"	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	E	B	A	A	A	B	C	C	B	B	B
15	small	B	B	"B, E"	L	L	L	L	L	L	L	L	H	H	H	I	I	J	I	L	L	"J, K, L"	K	"L, K"	L	E	E	E	E	L	"B, L"	L	C	L	L	B	D	Z	L
16	long	A	A	A	D	D	D	F	A	A	F	F	D	D	D	E	E	E	E	E	E	E	E	E	E	A	A	C	C	B	A	A	A	A	A	A	A	A	A
17	short	A	A	A	C	C	C	C	A	A	C	X	C	C	C	C	C	C	C	A	C	C	D	X	X	B	B	B	B	NA	A	A	A	A	A	A	A	A	A
18	old	"A, B"	"B, H"	A	"B, I"	Z	"J, K"	"A, L"	"B, I"	"B, I"	"M, N"	"O, L"	"P, Q, I"	"P, R"	"O, P"	D	"K, M"	"M, S"	"M, T"	"U, V"	"D, W"	D	"D, E"	"D, X"	"D, J"	"T, Y"	F	"B, F"	"F, G"	NA	"A, B"	"A, C"	A	"B, D"	"A, E"	NA	"T, U"	B	Z
19	new	A	A	A	F	F	A	B	B	B	B	B	F	H	G	G	A	A	"D, I"	G	G	G	G	A	G	D	"A, D"	D	D	NA	A	A	NA	B	C	A	D	A	A
20	good	E	E	E	"G, H"	H	"H, N"	J	"M, L"	"L, K"	G	J	L	L	L	O	"O, J"	"J, O"	"O, Q"	P	R	O	O	"J, O"	S	F	F	F	F	B	A	A	"A, C"	D	"A, E"	A	E	E	L
21	ripe	C	C	C	G	T	H	I	K	J	M	J	M	L	K	N	N	N	"O, Q"	I	O	"O, S"	O	O	P	D	D	D	D	NA	NA	NA	A	B	C	C	E	B	NA
22	unripe	B	E	B	B	B	H	B	J	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	NA	B	B	B	NA	NA	NA	A	B	B	C	NA	Z	NA
23	white	C	C	C	D	D	D	D	D	D	D	D	I	H	D	J	J	J	"G, J"	J	J	J	J	J	J	E	E	E	E	B	"A, B"	B	A	A	A	A	"F, G"	E	B
24	black	A	A	"A, H"	G	G	C	C	C	A	C	C	C	C	C	I	C	C	C	J	J	J	I	K	J	E	E	E	F	B	A	A	A	A	C	A	D	D	"A, K"
25	red	A	A	"G, A"	C	C	C	C	H	C	C	C	C	C	C	I	K	K	K	J	I	I	I	I	I	F	F	F	F	A	NA	NA	B	C	C	A	"D, E"	Z	NA
26	man	NA	A	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	I	C	C	C	C	C	J	H	H	H	X	A	B	D	E	A	A	G	G	K
27	woman	A	A	D	G	G	G	H	A	A	H	H	I	I	I	J	J	"G, J"	"G, J, L"	K	J	"E, J"	J	E	E	F	F	F	F	C	A	B	A	A	A	A	"D, E"	D	M
28	person	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A
29	fish	A	A	C	A	A	A	A	A	A	D	A	A	A	A	A	A	A	A	D	A	A	A	D	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A
30	bird	A	A	B	B	B	B	B	C	C	B	B	B	B	B	B	B	B	B	B	B	B	B	E	B	B	B	B	B	B	A	A	C	C	A	A	D	D	A
31	dog	A	A	A	A	A	F	B	B	B	A	A	A	A	A	G	A	A	A	A	G	G	G	G	G	A	A	A	A	A	A	A	B	C	A	A	"B, A, D"	B	"A, C"
32	louse	B	B	B	C	C	C	C	C	C	C	C	C	C	C	F	G	G	G	G	F	F	F	F	F	NA	D	D	D	NA	A	B	"C, F"	C	A	B	E	E	H
33	tree	C	C	B	C	C	C	C	C	C	C	C	C	"C, F"	F	F	F	F	F	C	G	G	G	G	G	B	B	B	B	B	A	A	A	C	"A, C"	A	D	D	A
34	seed	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	X	NA	A	B	A	A	A	NA	A	A	A
35	leaf	A	A	A	H	A	H	A	B	B	A	B	B	B	B	A	A	A	A	A	A	A	A	A	A	F	F	F	F	A	C	A	G	B	A	D	"A, E, G"	G	G
36	root	B	D	B	B	B	B	B	B	B	B	B	F	B	B	B	B	B	B	B	B	B	G	H	B	NA	E	E	E	NA	C	C	NA	B	B	C	D	Z	D
37	bark	A	A	A	C	G	G	A	A	A	G	H	I	J	K	L	L	L	"D, L"	D	M	NA	M	"M, N"	M	E	E	E	E	NA	A	A	A	A	C	NA	D	D	Z
38	skin	A	"A, B"	A	B	"P, I"	C	D	B	B	D	B	J	J	E	K	L	L	"L, M"	L	L	L	N	O	B	I	I	I	I	F	E	E	B	B	A	F	H	Z	B
39	meat	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
40	egg	A	B	"A, D"	D	D	D	D	D	D	B	D	H	C	H	F	F	F	F	B	B	B	B	B	B	G	G	G	G	B	A	A	B	B	D	A	"E, F"	E	H
41	horn	D	"A, B, J"	D	D	"D, M"	D	D	A	A	A	D	A	A	A	A	K	"K, L"	L	A	A	A	A	A	A	I	I	I	I	B	A	A	A	C	D	A	"B, E, F"	Z	A
42	tail	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	"A, B"	A	A
43	feather	D	D	H	D	D	D	D	D	D	I	I	C	C	J	K	K	K	"K, L"	D	M	M	N	C	C	G	G	G	G	NA	A	A	B	C	D	E	F	Y	Z
44	hair	A	A	A	B	B	B	B	A	B	A	A	A	A	A	F	F	F	F	F	G	G	F	F	F	E	E	E	E	A	A	A	A	A	B	A	"C, D"	C	A
45	blood	C	C	C	C	C	C	C	B	C	B	B	"B, C"	B	B	C	C	C	C	C	B	"B, C"	C	B	C	D	D	D	D	B	A	A	C	C	C	A	C	C	B
46	bone 	A	A	"A, D"	C	C	C	C	C	C	C	C	C	C	C	E	C	C	"C, E"	C	E	E	E	E	E	C	C	C	C	F	A	A	C	C	C	A	C	C	A
47	head	A	"A, D"	E	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A
48	heart	"B, C"	"B, C"	C	B	B	C	B	B	B	B	B	B	B	B	C	C	C	NA	C	D	C	C	E	C	C	C	C	C	B	A	A	C	B	B	A	C	C	B
49	liver	D	B	D	J	B	B	D	B	C	C	B	B	B	B	C	E	C	C	C	K	L	C	B	B	G	E	F	G	B	A	A	C	C	D	A	D	B	H
50	ear	"B, G"	B	G	J	B	B	D	B	B	D	D	D	B	B	H	H	"H, I"	"H, I"	D	B	B	B	B	B	B	B	B	B	D	"A, B"	"A, C"	E	B	B	B	B	D	H
51	eye	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	A	A	A	A	A	A	A
52	nose	B	B	"B, C"	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	"A, B"	B	A	A	A	B	A	A	A
53	mouth	A	A	A	A	A	A	A	A	A	B	A	D	B	B	A	A	B	B	A	G	B	A	A	G	D	"C, D"	E	C	B	A	A	A	A	A	A	B	A	A
54	tooth	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
55	tongue	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
56	"nail, claw"	G	D	G	C	C	C	C	D	D	C	C	C	C	C	H	I	I	"I, J"	L	K	NA	K	K	K	F	F	F	F	NA	"A, B"	B	NA	A	C	D	C	Z	K
57	"foot, leg"	E	E	B	F	F	F	F	F	F	H	H	F	F	F	H	H	H	H	H	I	G	I	F	F	NA	D	D	D	NA	F	F	F	H	F	B	C	D	F
58	knee	NA	A	"A, F"	G	I	G	G	NA	G	G	G	G	G	G	E	H	H	H	H	B	B	B	B	B	E	E	E	E	B	A	A	NA	C	F	A	D	Y	Z
59	"hand, arm"	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	"A, C"	C	A
60	belly	"A, I"	A	"A, F"	E	E	E	E	E	C	E	E	E	E	E	E	E	E	E	G	E	G	H	E	E	E	D	E	D	B	A	A	NA	C	A	NA	B	B	"E, H"
61	neck	A	A	A	A	A	A	C	C	C	C	C	A	A	A	B	B	B	B	B	B	B	B	B	A	A	A	A	A	A	A	A	NA	A	A	NA	B	B	B
62	breast	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	Z
63	sun	"A, C"	C	C	A	A	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
64	moon	NA	A	"A, C"	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	X	X	NA	A	A	A	A	A	A	X	X	"N, A"	B	A	A	A
65	star	"A, C"	"A, C"	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	B	A	A
66	water	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	B	C	B	B	"A, B"
67	rain	"B, C"	B	B	B	B	B	B	A	A	B	B	B	B	B	B	B	B	B	B	B	B	A	B	B	B	B	B	B	B	A	A	A	B	B	B	B	B	B
68	cloud	"C, D"	D	D	D	D	D	D	D	C	D	D	D	D	D	H	D	D	D	D	D	D	D	C	C	B	B	E	E	C	A	B	D	C	D	B	"F, G"	F	C
